point_name,x_torishin_name,y_torishin_name,setsu_name,col_form,angle,kih_x,kih_y,kih_z,tat_x,tat_y,tat_z,hon_x,hon_y,hon_z,you_x,you_y,you_z,con_x,con_y,con_z,comment
X12-Y4,X12,Y4,1,S,,113600,39600,10800,-4,-3,0,-5,-3,0,,,,,,,
X1A-Y5,X1A,Y5,1,S,,2200,42800,10800,-1,5,0,-1,4,0,,,,,,,
X2A-Y5,X2A,Y5,1,S,,12600,42800,10800,2,1,-3,1,1,-3,,,,,,,
X3A-Y5,X3A,Y5,1,S,,14200,42800,10800,3,1,2,2,1,2,,,,,,,
X4A-Y5,X4A,Y5,1,S,,25000,42800,10800,0,-5,3,0,-5,3,,,,,,,
X5A-Y5,X5A,Y5,1,S,,35800,42800,10800,-2,1,-3,-2,1,-3,,,,,,,
X6-Y5,X6,Y5,1,S,,48200,42800,10800,-1,-1,3,-1,-1,3,,,,,,,
X7-Y5,X7,Y5,1,S,,59000,42800,10800,-5,2,3,-3,2,3,,,,,,,
X8-Y5,X8,Y5,1,S,,69800,42800,10800,-2,-2,0,-2,-2,0,,,,,,,
X9-Y5,X9,Y5,1,S,,80600,42800,10800,0,5,1,0,5,1,,,,,,,
X10-Y5,X10,Y5,1,S,,91600,42800,10800,2,3,1,3,3,1,,,,,,,
X11-Y5,X11,Y5,1,S,,102600,42800,10800,5,3,2,6,3,2,,,,,,,
X12-Y5,X12,Y5,1,S,,113600,42800,10800,,,,,,,,,,,,,
X1A-Y6,X1A,Y6,1,S,,2200,55800,10800,-4,5,2,-4,4,2,,,,,,,
X2A-Y6,X2A,Y6,1,S,,12600,55800,10800,-2,2,1,-2,2,1,,,,,,,
X3A-Y6,X3A,Y6,1,S,,14200,55800,10800,0,0,1,-1,0,1,,,,,,,
X4A-Y6,X4A,Y6,1,S,,25000,55800,10800,-4,-3,0,-3,-3,0,,,,,,,
X5A-Y6,X5A,Y6,1,S,,35800,55800,10800,0,0,2,-1,0,2,,,,,,,
X6-Y6,X6,Y6,1,S,,48200,55800,10800,-2,0,1,-2,0,1,,,,,,,
X7-Y7,X7,Y7,1,S,,59000,58540,10800,-5,2,3,-3,2,3,,,,,,,
X8-Y7,X8,Y7,1,S,,69800,58540,10800,1,-4,0,1,-4,0,,,,,,,
X9-Y7,X9,Y7,1,S,,80600,58540,10800,-3,1,0,-3,1,0,,,,,,,
X10-Y7,X10,Y7,1,S,,91600,58540,10800,3,0,1,3,1,1,,,,,,,
X11-Y7,X11,Y7,1,S,,102600,58540,10800,1,0,1,1,0,1,,,,,,,
X12-Y7,X12,Y7,1,S,,113600,58540,10800,,,,,,,,,,,,,
X5-Y1,X5,Y1,2,S,,37400,0,20600,-2,1,3,-2,1,3,,,,,,,
X5-Y2,X5,Y2,2,S,,37400,16300,20600,-3,0,3,-4,1,3,,,,,,,
X4B-Y1,X4B,Y1,2,S,,28400,0,20600,0,-2,3,0,-3,3,,,,,,,
X4B-Y2,X4B,Y2,2,S,,28400,16300,20600,1,-3,3,1,-4,3,,,,,,,
X3B-Y1,X3B,Y1,2,S,,19400,0,20600,4,-4,3,5,-4,3,,,,,,,
X3B-Y2,X3B,Y2,2,S,,19400,16300,20600,0,-4,4,1,-3,4,,,,,,,
X2B-Y1,X2B,Y1,2,S,,10400,0,20600,2,-5,3,2,-5,3,,,,,,,
X2B-Y2,X2B,Y2,2,S,,10400,16300,20600,5,-4,2,4,-4,2,,,,,,,
X1B-Y1,X1B,Y1,2,S,,1400,0,20600,2,-5,4,2,4,3,,,,,,,
X1B-Y2,X1B,Y2,2,S,,1400,16300,20600,-2,-4,-4,-2,-4,-4,,,,,,,
X1-Y3,X1,Y3,2,S,,0,26600,20600,3,5,-3,3,4,0,,,,,,,
X2-Y3,X2-,Y3,2,S,,8800,26600,20600,3,-4,2,3,-4,2,,,,,,,
X3-Y3,x3,Y3,2,S,,15600,26600,20600,4,-5,1,4,-4,1,,,,,,,
X4-Y3,x4,Y3,2,S,,26600,26600,20600,4,-5,3,4,-4,3,,,,,,,
X5-Y3,X5,Y3,2,S,,37400,26600,20600,4,-3,1,4,-3,1,,,,,,,
X6-Y3,X6,Y3,2,S,,48200,26600,20600,-4,-2,-1,-5,-2,-1,,,,,,,
X7-Y3,X7,Y3,2,S,,59000,26600,20600,-4,-1,-3,-5,-1,-3,,,,,,,
X8-Y3,X8,Y3,2,S,,69800,26600,20600,-4,-4,1,-4,-3,1,,,,,,,
X9-Y3,X9,Y3,2,S,,80600,26600,20600,-3,0,-1,-3,0,-1,,,,,,,
